"id","taxon_group","language_iso","kingdom_taxon","kingdom_taxa_taxon_list_id","order_taxon","order_taxa_taxon_list_id","family_taxon","family_taxa_taxon_list_id","parent_id","taxonomic_sort_order","taxon","authority","taxon_rank","taxon_rank_sort_order","preferred","preferred_taxon","preferred_authority","default_common_name","freshwater_flag","non_native_flag"
521845,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,399813,NULL,"Acompsia",NULL,"Genus",230,False,"Acompsia","Hübner, [1825]",NULL,False,False
512904,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pyralidae",111775,396593,NULL,"Achroia",NULL,"Genus",230,False,"Achroia","Hübner, [1819]",NULL,False,False
509395,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399678,NULL,"Agapeta",NULL,"Genus",230,False,"Agapeta","Hübner, 1822",NULL,False,False
249602,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,394292,NULL,"Psychoides","Bruand","Genus",230,False,"Psychoides","Bruand, 1853",NULL,False,False
530771,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Zygaenidae",40909,398853,NULL,"Adscita",NULL,"Genus",230,False,"Adscita","Retzius, 1783",NULL,False,False
524732,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pterophoridae",202596,398669,NULL,"Adaina",NULL,"Genus",230,False,"Adaina","Tutt, 1905",NULL,False,False
478206,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Drepanidae",62001,398773,NULL,"Achlya",NULL,"Genus",230,False,"Achlya","Billberg, 1820",NULL,False,False
495480,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Sphingidae",144827,394034,NULL,"Acherontia",NULL,"Genus",230,False,"Acherontia","Laspeyres, 1809",NULL,False,False
499712,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399678,NULL,"Aethes",NULL,"Genus",230,False,"Aethes","Billberg, 1820",NULL,False,False
487337,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,396511,NULL,"Aethalura",NULL,"Genus",230,False,"Aethalura","McDunnough, 1920",NULL,False,False
504006,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399449,NULL,"Acleris",NULL,"Genus",230,False,"Acleris","Hübner, [1825]",NULL,False,False
512187,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,39312,NULL,"Acleris caledoniana",NULL,"Species",300,False,"Acleris caledoniana","(Stephens, 1852)","Caledonian Button",False,False
475506,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Psychidae",55847,398788,NULL,"Acanthopsyche",NULL,"Genus",230,False,"Acanthopsyche","Heylaerts, 1881",NULL,False,False
533247,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,394725,NULL,"Abrostola",NULL,"Genus",230,False,"Abrostola","Ochsenheimer, 1816",NULL,False,False
512044,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,398767,NULL,"Abraxas",NULL,"Genus",230,False,"Abraxas","Leach, [1815]",NULL,False,False
525163,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,397390,NULL,"Acasis",NULL,"Genus",230,False,"Acasis","Duponchel, [1845]",NULL,False,False
49224,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Crambidae",291555,240034,NULL,"Udea elutalis",NULL,"Species",300,False,"Udea lutealis","(Hübner, [1809])","Pale Straw Pearl",False,False
407659,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,149443,NULL,"Teleiodes notatella","sensu Pierce & Metcalfe, 1935 ♂ genitalia nec (Hübner, [1813])","Species",300,False,"Teleiodes wagae","(Nowicki, 1860)","Hazel Groundling",False,False
