beetles_species_names,,,,,,
Lucanus cervus,,,,,,
Dorcus rectus,,,,,,
Prosopocoilus inclinatus,,,,,,
Allotopus rosenbergi,,,,,,
Hexarthrius mandibularis,,,,,,
Prosopocoilus giraffa,,,,,,
