,SP NO.,superfamily,family,subfamily,val genus,name,FULL NAME
0,010001,Micropterigoidea,Micropterigidae,[Micropteriginae],Epimartyria,auricrinella,Epimartyria auricrinella Walsingham
1,070001,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Dyseriocrania,griseocapitella,Dyseriocrania griseocapitella (Walsingham)
2,070003,Eriocranioidea,Eriocraniidae,[Eriocraniinae],Eriocrania,semipurpurella,Eriocrania semipurpurella (Stephens)
4,110001,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,hyperboreus,Gazoryctra hyperboreus (Möschler)
5,110008,Hepialoidea,Hepialidae,[Hepialinae],Gazoryctra,novigannus,Gazoryctra novigannus (Barnes & Benjamin)
6,110011,Hepialoidea,Hepialidae,[Hepialinae],Korscheltellus,gracilis,Korscheltellus gracilis (Grote)
7,110016,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,argenteomaculatus,Sthenopis argenteomaculatus (Harris)
8,110017,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,purpurascens,Sthenopis purpurascens (Packard)
9,110018,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,thule,Sthenopis thule (Strecker)
10,110019,Hepialoidea,Hepialidae,[Hepialinae],Sthenopis,pretiosus,Sthenopis pretiosus (Herrich-Schäffer)
11,160007,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,intermedia,Stigmella intermedia (Braun)
12,160008,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,prunifoliella,Stigmella prunifoliella (Clemens)
13,160009,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,rhoifoliella,Stigmella rhoifoliella (Braun)
14,160013,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,macrocarpae,Stigmella macrocarpae (Freeman)
15,160014,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,nigriverticella,Stigmella nigriverticella (Chambers)
16,160015,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,saginella,Stigmella saginella (Clemens)
17,160017,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,betulicola,Stigmella betulicola (Stainton)
18,160018,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,microtheriella,Stigmella microtheriella (Stainton)
19,160019,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,caryaefoliella,Stigmella caryaefoliella (Clemens)
20,160020,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,corylifoliella,Stigmella corylifoliella (Clemens)
21,160025,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,tiliella,Stigmella tiliella (Braun)
22,160029,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,rhamnicola,Stigmella rhamnicola (Braun)
23,160030,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,rosaefoliella,Stigmella rosaefoliella (Clemens)
24,160032,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,lapponica,Stigmella lapponica (Wocke)
25,160034,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,slingerlandella,Stigmella slingerlandella (Kearfott)
26,160036,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,aromella,Stigmella aromella Wilkinson & Scoble
27,160039,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,populetorum,Stigmella populetorum (Frey & Boll)
28,160041,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,quercipulchella,Stigmella quercipulchella (Chambers)
29,160044,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,centifoliella,Stigmella centifoliella (Zeller)
30,160054,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,argentifasciella,Stigmella argentifasciella (Braun)
31,160055,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,villosella,Stigmella villosella (Clemens)
32,160056,Nepticuloidea,Nepticulidae,[Nepticulinae],Stigmella,apicialbella,Stigmella apicialbella (Chambers)
33,160060,Nepticuloidea,Nepticulidae,[Nepticulinae],Bohemannia,pulverosella,Bohemannia pulverosella (Stainton)
34,160061,Nepticuloidea,Nepticulidae,[Nepticulinae],Glaucolepis,saccharella,Glaucolepis saccharella (Braun)
35,160065,Nepticuloidea,Nepticulidae,[Nepticulinae],Fomoria,pteliaeella,Fomoria pteliaeella (Chambers)
36,160067,Nepticuloidea,Nepticulidae,[Nepticulinae],Etainia,sericopeza,Etainia sericopeza (Zeller)
37,160068,Nepticuloidea,Nepticulidae,[Nepticulinae],Etainia,ochrefasciella,Etainia ochrefasciella (Chambers)
38,160078,Nepticuloidea,Nepticulidae,[Nepticulinae],Zimmermannia,bosquella,Zimmermannia bosquella (Chambers)
39,160079,Nepticuloidea,Nepticulidae,[Nepticulinae],Zimmermannia,grandisella,Zimmermannia grandisella (Chambers)
40,160083,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,populella,Ectoedemia populella Busck
41,160084,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,canutus,Ectoedemia canutus Wilkinson & Scoble
42,160085,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,argyropeza,Ectoedemia argyropeza (Zeller)
43,160086,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,trinotata,Ectoedemia trinotata (Braun)
44,160087,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,quadrinotata,Ectoedemia quadrinotata (Braun)
45,160091,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,virgulae,Ectoedemia virgulae (Braun)
46,160095,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,occultella,Ectoedemia occultella (Linnaeus)
47,160096,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,rubifoliella,Ectoedemia rubifoliella (Clemens)
48,160097,Nepticuloidea,Nepticulidae,[Nepticulinae],Ectoedemia,ulmella,Ectoedemia ulmella (Braun)
49,160100,Nepticuloidea,Opostegidae,[Oposteginae],Opostegoides,scioterma,Opostegoides scioterma (Meyrick)
50,160102,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,albogaleriella,Pseudopostega albogaleriella (Clemens)
51,160103,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,cretea,Pseudopostega cretea (Meyrick)
52,160107,Nepticuloidea,Opostegidae,[Oposteginae],Pseudopostega,quadristrigella,Pseudopostega quadristrigella (Chambers)
53,210001,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,russatella,Lampronia russatella (Clemens)
54,210003,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,capitella,Lampronia capitella (Clerck)
55,210004,Adeloidea,Prodoxidae,Lamproniinae,Lampronia,corticella,Lampronia corticella (Linnaeus)
56,210069,Adeloidea,Incurvariidae,[Incurvariinae],Paraclemensia,acerifoliella,Paraclemensia acerifoliella (Fitch)
57,210071,Adeloidea,Incurvariidae,[Incurvariinae],Phylloporia,bistrigella,Phylloporia bistrigella (Haworth)
58,210075,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,cornifoliella,Antispila cornifoliella Clemens
59,210076,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,freemani,Antispila freemani Lafontaine
60,210082,Adeloidea,Heliozelidae,[Heliozelinae],Antispila,oinophylla,Antispila oinophylla van Nieukerken & Wagner
61,210092,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,negligens,Coptodisca negligens Braun
62,210093,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,ostryaefoliella,Coptodisca ostryaefoliella (Clemens)
63,210097,Adeloidea,Heliozelidae,[Heliozelinae],Coptodisca,kalmiella,Coptodisca kalmiella Dietz
64,210102,Adeloidea,Adelidae,Adelinae,Cauchas,dietziella,Cauchas dietziella (Kearfott)
65,210108,Adeloidea,Adelidae,Adelinae,Nemophora,bellela,Nemophora bellela (Walker)
66,210117,Adeloidea,Adelidae,Adelinae,Adela,caeruleella,Adela caeruleella Walker
67,210118,Adeloidea,Adelidae,Adelinae,Adela,ridingsella,Adela ridingsella Clemens
68,210119,Adeloidea,Adelidae,Adelinae,Adela,purpurea,Adela purpurea Walker
69,230005,Tischerioidea,Tischeriidae,[Tischeriinae],Astrotischeria,solidagonifoliella,Astrotischeria solidagonifoliella (Clemens)
70,230018,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,zelleriella,Coptotriche zelleriella (Clemens)
71,230019,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,citrinipennella,Coptotriche citrinipennella (Clemens)
72,230020,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,malifoliella,Coptotriche malifoliella (Clemens)
73,230021,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,aenea,Coptotriche aenea (Frey & Boll)
74,230023,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,badiiella,Coptotriche badiiella (Chambers)
75,230026,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,castaneaeella,Coptotriche castaneaeella (Chambers)
76,230039,Tischerioidea,Tischeriidae,[Tischeriinae],Coptotriche,crataegifoliae,Coptotriche crataegifoliae (Braun)
77,300001,Tineoidea,Meessiidae,[Meessiinae],Eudarcia,eunitariaeella,Eudarcia eunitariaeella (Chambers)
78,300004,Tineoidea,Psychidae,Naryciinae,Dahlica,triquetrella,Dahlica triquetrella (Hübner)
79,300007,Tineoidea,Psychidae,Naryciinae,Siederia,walshella,Siederia walshella (Clemens)
80,300006,Tineoidea,Psychidae,Naryciinae,Kearfottia,albifasciella,Kearfottia albifasciella Fernald
81,300008,Tineoidea,Psychidae,Psychinae,Psyche,casta,Psyche casta (Pallas)
82,300028,Tineoidea,Psychidae,Oiketicinae,Thyridopteryx,ephemeraeformis,Thyridopteryx ephemeraeformis (Haworth)
83,300016,Tineoidea,Psychidae,Oiketicinae,Hyaloscotes,coniferella,Hyaloscotes coniferella (Edwards)
84,300019,Tineoidea,Psychidae,Oiketicinae,Hyaloscotes,pithopoera,Hyaloscotes pithopoera (Dyar)
85,300032,Tineoidea,Dryadaulidae,[Dryadaulinae],Dryadaula,visaliella,Dryadaula visaliella (Chambers)
86,300046,Tineoidea,Tineidae,Acrolophinae,Amydria,effrentella,Amydria effrentella Clemens
87,300081,Tineoidea,Tineidae,Acrolophinae,Acrolophus,morus,Acrolophus morus (Grote)
88,300105,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,acapnopennella,Nemapogon acapnopennella (Clemens)
89,300107,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,auropulvella,Nemapogon auropulvella (Chambers)
90,300112,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,granella,Nemapogon granella (Linnaeus)
91,300115,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,multistriatella,Nemapogon multistriatella (Dietz)
92,300116,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,ophrionella,Nemapogon ophrionella (Dietz)
93,300120,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,tylodes,Nemapogon tylodes (Meyrick)
94,300121,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,variatella,Nemapogon variatella (Clemens)
95,300123,Tineoidea,Tineidae,"Tineidae ""clade B""",Leucomele,miriamella,Leucomele miriamella Dietz
96,300125,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,argentinotella,Homosetia argentinotella (Chambers)
97,300128,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,bifasciella,Homosetia bifasciella (Chambers)
98,300130,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,costisignella,Homosetia costisignella (Clemens)
99,300132,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,fasciella,Homosetia fasciella (Chambers)
100,300134,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,marginimaculella,Homosetia marginimaculella (Chambers)
101,300140,Tineoidea,Tineidae,"Tineidae ""clade B""",Isocorypha,mediostriatella,Isocorypha mediostriatella (Clemens)
102,300146,Tineoidea,Tineidae,Tineinae,Tinea,carnariella,Tinea carnariella Clemens
103,300147,Tineoidea,Tineidae,Tineinae,Tinea,columbariella,Tinea columbariella Wocke
104,300148,Tineoidea,Tineidae,Tineinae,Tinea,croceoverticella,Tinea croceoverticella Chambers
105,300151,Tineoidea,Tineidae,Tineinae,Tinea,irrepta,Tinea irrepta Braun
106,300157,Tineoidea,Tineidae,Tineinae,Tinea,pellionella,Tinea pellionella (Linnaeus)
107,300159,Tineoidea,Tineidae,Tineinae,Tinea,svenssoni,Tinea svenssoni Opheim
108,300164,Tineoidea,Tineidae,Tineinae,Niditinea,fuscella,Niditinea fuscella (Linnaeus)
109,300165,Tineoidea,Tineidae,Tineinae,Niditinea,orleansella,Niditinea orleansella (Chambers)
110,300168,Tineoidea,Tineidae,Tineinae,Monopis,crocicapitella,Monopis crocicapitella (Clemens)
111,300169,Tineoidea,Tineidae,Tineinae,Monopis,laevigella,Monopis laevigella ([Denis & Schiffermüller])
112,300171,Tineoidea,Tineidae,Tineinae,Monopis,dorsistrigella,Monopis dorsistrigella (Clemens)
113,300172,Tineoidea,Tineidae,Tineinae,Monopis,marginistrigella,Monopis marginistrigella (Chambers)
114,300173,Tineoidea,Tineidae,Tineinae,Monopis,monachella,Monopis monachella (Hübner)
115,300176,Tineoidea,Tineidae,Tineinae,Monopis,spilotella,Monopis spilotella Tengström
116,300170,Tineoidea,Tineidae,Tineinae,Monopis,weaverella,Monopis weaverella Scott
117,300177,Tineoidea,Tineidae,Tineinae,Eccritothrix,guenterella,Eccritothrix guenterella Koçak
118,300179,Tineoidea,Tineidae,Tineinae,Elatobia,carbonella,Elatobia carbonella (Dietz)
119,300182,Tineoidea,Tineidae,"Tineidae ""clade A""",Hybroma,servulella,Hybroma servulella Clemens
120,300203,Tineoidea,Tineidae,Scardiinae,Scardia,anatomella,Scardia anatomella (Grote)
121,300205,Tineoidea,Tineidae,Scardiinae,Scardiella,approximatella,Scardiella approximatella (Dietz)
122,300217,Tineoidea,Tineidae,Tineidae-unplaced,Pelecystola,nearctica,Pelecystola nearctica Davis & Davis
123,300220,Tineoidea,Tineidae,Tineidae-unplaced,Philonome,clemensella,Philonome clemensella Chambers
124,300223,Tineoidea,Tineidae,Tineidae-unplaced,Xylesthia,pruniramiella,Xylesthia pruniramiella Clemens
125,330002,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,solidaginiella,Bucculatrix solidaginiella Braun
126,330003,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,montana,Bucculatrix montana Braun
127,330013,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,inusitata,Bucculatrix inusitata Braun
128,330016,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,cuneigera,Bucculatrix cuneigera Meyrick
129,330033,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,agnella,Bucculatrix agnella Clemens
130,330040,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,angustata,Bucculatrix angustata Frey & Boll
131,330041,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,adelpha,Bucculatrix adelpha Braun
132,330043,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,eupatoriella,Bucculatrix eupatoriella Braun
133,330048,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,sexnotata,Bucculatrix sexnotata Braun
134,330069,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,packardella,Bucculatrix packardella Chambers
135,330075,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,quinquenotella,Bucculatrix quinquenotella Chambers
136,330080,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,canadensisella,Bucculatrix canadensisella Chambers
137,330082,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,polytita,Bucculatrix polytita Braun
138,330087,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,callistricha,Bucculatrix callistricha Braun
139,330091,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,locuples,Bucculatrix locuples Meyrick
140,330092,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,ainsliella,Bucculatrix ainsliella Murtfeldt
141,330097,Gracillarioidea,Bucculatricidae,[Bucculatricinae],Bucculatrix,pomifoliella,Bucculatrix pomifoliella Clemens
142,330254,Gracillarioidea,Gracillariidae,Lithocolletinae,Cremastobombycia,solidaginis,Cremastobombycia solidaginis (Frey & Boll)
143,330257,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,aeriferella,Phyllonorycter aeriferella (Clemens)
144,330258,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,alaskana,Phyllonorycter alaskana Deschka
145,330259,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,albanotella,Phyllonorycter albanotella (Chambers)
146,330261,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,alnicolella,Phyllonorycter alnicolella (Walsingham)
147,330264,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,apparella,Phyllonorycter apparella (Herrich-Schäffer)
148,330266,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,argentifimbriella,Phyllonorycter argentifimbriella (Clemens)
149,330267,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,argentinotella,Phyllonorycter argentinotella (Clemens)
150,330269,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,auronitens,Phyllonorycter auronitens (Frey & Boll)
151,330270,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,basistrigella,Phyllonorycter basistrigella (Clemens)
152,330272,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,blancardella,Phyllonorycter blancardella (Fabricius)
153,330276,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,clemensella,Phyllonorycter clemensella (Chambers)
154,330277,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,comptoniella,Phyllonorycter comptoniella (Darlington)
155,330278,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,crataegella,Phyllonorycter crataegella (Clemens)
156,330285,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,emberizaepenella,Phyllonorycter emberizaepenella (Bouché)
157,330287,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,fitchella,Phyllonorycter fitchella (Clemens)
158,330294,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,intermixta,Phyllonorycter intermixta (Braun)
159,330297,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,latus,Phyllonorycter latus Davis & Deschka
160,330298,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,ledella,Phyllonorycter ledella (Walsingham)
161,330299,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,lucetiella,Phyllonorycter lucetiella (Clemens)
162,330300,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,lucidicostella,Phyllonorycter lucidicostella (Clemens)
163,330305,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,martiella,Phyllonorycter martiella (Braun)
164,330310,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,nipigon,Phyllonorycter nipigon (Freeman)
165,330316,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,ostryaefoliella,Phyllonorycter ostryaefoliella (Clemens)
166,330320,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,propinquinella,Phyllonorycter propinquinella (Braun)
167,330321,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,quercialbella,Phyllonorycter quercialbella (Fitch)
168,330322,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,restrictella,Phyllonorycter restrictella (Braun)
169,330326,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,salicifoliella,Phyllonorycter salicifoliella (Chambers)
170,330328,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,scudderella,Phyllonorycter scudderella (Frey & Boll)
171,330331,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,tiliacella,Phyllonorycter tiliacella (Chambers)
172,330333,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,tritaenianella,Phyllonorycter tritaenianella (Chambers)
173,330334,Gracillarioidea,Gracillariidae,Lithocolletinae,Phyllonorycter,viburnella,Phyllonorycter viburnella (Braun)
174,330335,Gracillarioidea,Gracillariidae,Lithocolletinae,Macrosaccus,robiniella,Macrosaccus robiniella (Clemens)
175,330336,Gracillarioidea,Gracillariidae,Lithocolletinae,Macrosaccus,morrisella,Macrosaccus morrisella (Fitch)
176,330339,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,aceriella,Cameraria aceriella (Clemens)
177,330341,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,affinis,Cameraria affinis (Frey & Boll)
178,330344,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,arcuella,Cameraria arcuella (Braun)
179,330346,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,bethunella,Cameraria bethunella (Chambers)
180,330347,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,betulivora,Cameraria betulivora (Walsingham)
181,330348,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,caryaefoliella,Cameraria caryaefoliella (Clemens)
182,330352,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,cincinnatiella,Cameraria cincinnatiella (Chambers)
183,330354,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,corylisella,Cameraria corylisella (Chambers)
184,330358,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,fletcherella,Cameraria fletcherella (Braun)
185,330360,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,guttifinitella,Cameraria guttifinitella (Clemens)
186,330361,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,hamadryadella,Cameraria hamadryadella (Clemens)
187,330364,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,lentella,Cameraria lentella (Braun)
188,330368,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,macrocarpella,Cameraria macrocarpella (Frey & Boll)
189,330373,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,obstrictella,Cameraria obstrictella (Clemens)
190,330374,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,ostryarella,Cameraria ostryarella (Chambers)
191,330388,Gracillarioidea,Gracillariidae,Lithocolletinae,Cameraria,ulmella,Cameraria ulmella (Chambers)
192,330228,Gracillarioidea,Gracillariidae,Lithocolletinae,Leucanthiza,amphicarpeaefoliella,Leucanthiza amphicarpeaefoliella Clemens
193,330229,Gracillarioidea,Gracillariidae,Lithocolletinae,Leucanthiza,dircella,Leucanthiza dircella Braun
194,330215,Gracillarioidea,Gracillariidae,Acrocercopinae,Acrocercops,albinatella,Acrocercops albinatella (Chambers)
195,330218,Gracillarioidea,Gracillariidae,Acrocercopinae,Acrocercops,astericola,Acrocercops astericola (Frey & Boll)
196,330219,Gracillarioidea,Gracillariidae,Acrocercopinae,Acrocercops,pnosmodiella,Acrocercops pnosmodiella (Busck)
197,330222,Gracillarioidea,Gracillariidae,Acrocercopinae,Acrocercops,strigosa,Acrocercops strigosa Braun
198,330226,Gracillarioidea,Gracillariidae,Acrocercopinae,Leucospilapteryx,venustella,Leucospilapteryx venustella (Clemens)
199,330394,Gracillarioidea,Gracillariidae,Phyllocnistinae,Phyllocnistis,ampelopsiella,Phyllocnistis ampelopsiella Chambers
200,330406,Gracillarioidea,Gracillariidae,Phyllocnistinae,Phyllocnistis,populiella,Phyllocnistis populiella Chambers
201,330408,Gracillarioidea,Gracillariidae,Phyllocnistinae,Phyllocnistis,vitegenella,Phyllocnistis vitegenella Clemens
202,330409,Gracillarioidea,Gracillariidae,Phyllocnistinae,Phyllocnistis,vitifoliella,Phyllocnistis vitifoliella Chambers
203,330236,Gracillarioidea,Gracillariidae,Marmarinae,Marmara,fasciella,Marmara fasciella (Chambers)
204,330246,Gracillarioidea,Gracillariidae,Marmarinae,Marmara,salictella,Marmara salictella Clemens
205,330248.1,Gracillarioidea,Gracillariidae,Marmarinae,Marmara,tiliella,"Marmara tiliella Eiseman & Davis, 2017"
206,330107,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,alnicolella,Caloptilia alnicolella (Chambers)
207,330108,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,alnivorella,Caloptilia alnivorella (Chambers)
208,330109,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,amphidelta,Caloptilia amphidelta (Meyrick)
209,330110,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,anthobaphes,Caloptilia anthobaphes (Meyrick)
210,330115,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,belfragella,Caloptilia belfragella (Chambers)
211,330116,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,betulivora,Caloptilia betulivora (McDunnough)
212,330117,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,bimaculatella,Caloptilia bimaculatella (Ely)
213,330118,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,blandella,Caloptilia blandella (Clemens)
214,330119,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,burgessiella,Caloptilia burgessiella (Zeller)
215,330121,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,canadensisella,Caloptilia canadensisella (McDunnough)
216,330122,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,cornusella,Caloptilia cornusella (Ely)
217,330123,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,coroniella,Caloptilia coroniella (Clemens)
218,330126,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,flavella,Caloptilia flavella (Ely)
219,330127,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,flavimaculella,Caloptilia flavimaculella (Ely)
220,330128,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,fraxinella,Caloptilia fraxinella (Ely)
221,330130,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,hypericella,Caloptilia hypericella (Braun)
222,330131,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,invariabilis,Caloptilia invariabilis (Braun)
223,330134,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,melanocarpae,Caloptilia melanocarpae (Braun)
224,330137,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,negundella,Caloptilia negundella (Chambers)
225,330140,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,ostryaeella,Caloptilia ostryaeella (Chambers)
226,330142,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,packardella,Caloptilia packardella (Chambers)
227,330144,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,paradoxum,Caloptilia paradoxum (Frey & Boll)
228,330147,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,populiella,Caloptilia populiella (Chambers)
229,330149,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,pulchella,Caloptilia pulchella (Chambers)
230,330152,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,rhoifoliella,Caloptilia rhoifoliella (Chambers)
231,330159,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,serotinella,Caloptilia serotinella (Ely)
232,330161,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,stigmatella,Caloptilia stigmatella (Fabricius)
233,330162,Gracillarioidea,Gracillariidae,Gracillariinae,Caloptilia,strictella,Caloptilia strictella (Walker)
